region	sub-table	lower_frequency	upper_frequency	category	service	footnotes
gb		1635000	1800000	p	Fixed	5.92, 5.96, UK11, UK2, UK21, UK22, EU1
gb		1635000	1800000	p	Radiolocation	5.92, 5.96, UK11, UK19, UK2, UK22, EU1
gb		1635000	1800000	p	Land Mobile	5.92, 5.96, UK11, UK2, UK22, EU1
gb		1800000	1810000	p	Radiolocation	UK11, UK2, EU1
gb		1810000	1850000	p	Amateur	5.100, UK1, UK11, UK7, EU1
gb		1850000	2000000	p	Fixed	5.92, 5.96, 5.103, UK11, UK2, EU1
gb		1850000	2000000	p	Mobile except aeronautical mobile	5.92, 5.96, 5.103, UK11, UK185, UK2, EU1
gb		1850000	2000000	p	Radiolocation	5.92, 5.96, 5.103, UK11, UK19, UK2, EU1
gb		1850000	2000000	s	Amateur	5.92, 5.96, 5.103, UK11, UK2, UK7, EU1, UK5.7
gb		2000000	2025000	p	Fixed	5.92, 5.103, UK11, UK156, UK2, EU1
gb		2000000	2025000	p	Mobile except aeronautical mobile (R)	5.92, 5.103, UK11, UK156, UK185, UK2, EU1
gb		2000000	2025000	p	Radiolocation	5.92, 5.103, UK11, UK156, UK19, UK2, EU1
gb		2025000	2045000	p	Fixed	5.92, 5.103, UK11, UK2, EU1
gb		2025000	2045000	p	Mobile except aeronautical mobile (R)	5.92, 5.103, UK11, UK185, UK2, EU1
gb		2025000	2045000	s	Meteorological Aids	5.92, 5.103, 5.104, UK11, UK2, EU1
gb		2045000	2160000	p	Maritime Mobile	UK11, UK185, UK2, EU1
gb		2045000	2160000	p	Fixed	UK11, UK2, EU1
gb		2045000	2160000	p	Land Mobile	UK11, UK2, EU1
gb		2045000	2160000	p	Radiolocation	UK11, UK19, UK2, EU1
gb		2160000	2170000	p	Fixed	UK11, UK2, EU1
gb		2160000	2170000	p	Maritime Mobile	UK11, UK2, EU1
gb		2160000	2170000	p	Radiolocation	UK11, UK2, EU1
gb		2170000	2173500	p	Maritime Mobile	UK1, UK11, EU1
gb		2173500	2190500	p	Mobile (distress and calling)	5.108, 5.109, 5.110, 5.111, UK1, UK11, UK12, UK9, EU1
gb		2190500	2194000	p	Maritime Mobile	UK11, UK185, UK2, EU1
gb		2194000	2300000	p	Fixed	5.92, 5.103, UK11, UK2, EU1
gb		2194000	2300000	p	Mobile except aeronautical mobile (R)	5.92, 5.103, UK11, UK185, UK2, EU1
gb		2194000	2300000	p	Radiolocation	5.92, 5.103, UK11, UK19, UK2, EU1
