Region	Sub-table	lower_frequency	upper_frequency	Category	Service	Footnotes
ITU Region 2		0	9000		-	5.53,5.54
ITU Region 2		9000	14000	p	Radionavigation	
ITU Region 2		14000	19950		-	5.55,5.56
ITU Region 2		14000	19950	p	Fixed	
ITU Region 2		14000	19950	p	Maritime Mobile	5.57
ITU Region 2		19950	20050	p	Standard Frequency And Time Signal (20 kHz)	
ITU Region 2		20050	70000		-	5.56,5.58
ITU Region 2		20050	70000	p	Fixed	
ITU Region 2		20050	70000	p	Maritime Mobile	5.57
ITU Region 2		70000	90000		-	5.61
ITU Region 2		70000	90000	p	Fixed	
ITU Region 2		70000	90000	p	Maritime Mobile	5.57
ITU Region 2		70000	90000	p	Maritime Radionavigation	5.6
ITU Region 2		70000	90000	s	Radiolocation	
ITU Region 2		90000	110000		-	5.64
ITU Region 2		90000	110000	p	Radionavigation	5.62
ITU Region 2		90000	110000	s	Fixed	
ITU Region 2		110000	130000		-	5.61,5.64
ITU Region 2		110000	130000	p	Fixed	
ITU Region 2		110000	130000	p	Maritime Mobile	
ITU Region 2		110000	130000	p	Maritime Radionavigation	5.6
ITU Region 2		110000	130000	s	Radiolocation	
ITU Region 2		130000	137500		-	5.64
ITU Region 2		130000	137500	p	Fixed	
ITU Region 2		130000	137500	p	Maritime Mobile	
ITU Region 2		137500	137800		-	5.64
ITU Region 2		137500	137800	p	Fixed	
ITU Region 2		137500	137800	p	Maritime Mobile	
ITU Region 2		137500	137800	s	Amateur	5.67A
ITU Region 2		137800	160000		-	5.64
ITU Region 2		137800	160000	p	Fixed	
ITU Region 2		137800	160000	p	Maritime Mobile	
ITU Region 2		160000	190000	p	Fixed	
ITU Region 2		190000	200000	p	Aeronautical Radionavigation	
ITU Region 2		200000	275000	p	Aeronautical Radionavigation	
ITU Region 2		200000	275000	s	Aeronautical Mobile	
ITU Region 2		275000	285000	p	Aeronautical Radionavigation	
ITU Region 2		275000	285000	s	Aeronautical Mobile	
ITU Region 2		275000	285000	s	Maritime Radionavigation (radiobeacons)	
ITU Region 2		285000	315000	p	Aeronautical Radionavigation	
ITU Region 2		285000	315000	p	Maritime Radionavigation (radiobeacons) 	5.73
ITU Region 2		315000	325000	p	Maritime Radionavigation (radiobeacons) 	5.73
ITU Region 2		315000	325000	s	Aeronautical Radionavigation	
ITU Region 2		325000	335000	p	Aeronautical Radionavigation	
ITU Region 2		325000	335000	s	Aeronautical Mobile	
ITU Region 2		325000	335000	s	Maritime Radionavigation (radiobeacons)	
ITU Region 2		335000	405000	p	Aeronautical Radionavigation	
ITU Region 2		335000	405000	s	Aeronautical Mobile	
ITU Region 2		405000	415000	p	Radionavigation	5.76
ITU Region 2		405000	415000	s	Aeronautical Mobile	
ITU Region 2		415000	495000		-	5.77,5.78,5.82
ITU Region 2		415000	495000	p	Maritime Mobile	5.79,5.79A
ITU Region 2		415000	495000	s	Aeronautical Radionavigation	5.8
ITU Region 2		495000	505000		-	5.82B
ITU Region 2		495000	505000	p	Mobile	5.82A
ITU Region 2		505000	510000	p	Maritime Mobile	5.79
ITU Region 2		510000	525000	p	Mobile	5.79A,5.84
ITU Region 2		510000	525000	p	Aeronautical Radionavigation	
ITU Region 2		525000	535000	p	Broadcasting	5.86
ITU Region 2		525000	535000	p	Aeronautical Radionavigation	
ITU Region 2		535000	1605000	p	Broadcasting	
ITU Region 2		1605000	1625000		-	5.9
ITU Region 2		1605000	1625000	p	Broadcasting	5.89
ITU Region 2		1625000	1705000		-	5.9
ITU Region 2		1625000	1705000	p	Fixed	
ITU Region 2		1625000	1705000	p	Mobile	
ITU Region 2		1625000	1705000	p	Broadcasting	5.89
ITU Region 2		1625000	1705000	s	Radiolocation	
ITU Region 2		1705000	1800000	p	Fixed	
ITU Region 2		1705000	1800000	p	Mobile	
ITU Region 2		1705000	1800000	p	Radiolocation	
ITU Region 2		1705000	1800000	p	Aeronautical Radionavigation	
ITU Region 2		1800000	1850000	p	Amateur	
ITU Region 2		1850000	2000000		-	5.102
ITU Region 2		1850000	2000000	p	Amateur	
ITU Region 2		1850000	2000000	p	Fixed	
ITU Region 2		1850000	2000000	p	Mobile except aeronautical mobile	
ITU Region 2		1850000	2000000	p	Radiolocation	
ITU Region 2		1850000	2000000	p	Radionavigation	
ITU Region 2		2000000	2065000	p	Fixed	
ITU Region 2		2000000	2065000	p	Mobile	
ITU Region 2		2065000	2107000		-	5.106
ITU Region 2		2065000	2107000	p	Maritime Mobile	5.105
ITU Region 2		2107000	2170000	p	Fixed	
ITU Region 2		2107000	2170000	p	Mobile	
ITU Region 2		2170000	2173500	p	Maritime Mobile	
ITU Region 2		2173500	2190500		-	5.108,5.109,5.110,5.111
ITU Region 2		2173500	2190500	p	Mobile (distress and calling)	
ITU Region 2		2190500	2194000	p	Maritime Mobile	
ITU Region 2		2194000	2300000		-	5.112
ITU Region 2		2194000	2300000	p	Fixed	
ITU Region 2		2194000	2300000	p	Mobile	
ITU Region 2		2300000	2495000	p	Fixed	
ITU Region 2		2300000	2495000	p	Mobile	
ITU Region 2		2300000	2495000	p	Broadcasting	5.113
ITU Region 2		2495000	2501000	p	Standard Frequency And Time Signal (2500 kHz)	
ITU Region 2		2501000	2502000	p	Standard Frequency And Time Signal	
ITU Region 2		2501000	2502000	s	Space Research	
ITU Region 2		2502000	2505000	p	Standard Frequency And Time Signal	
ITU Region 2		2505000	2850000	p	Fixed	
ITU Region 2		2505000	2850000	p	Mobile	
ITU Region 2		2850000	3025000		-	5.111,5.115
ITU Region 2		2850000	3025000	p	Aeronautical Mobile (R)	
ITU Region 2		3025000	3155000	p	Aeronautical Mobile (OR)	
